t,AmbiTemp,Irradiance,ModuleTemp,TruePower,InclAngle,Current_V,Voltage,Humidity
2018/1/1 0:00,13.99955027,0,13.99955027,0,30,0,0,55
2018/1/1 0:10,13.99280631,0,13.99280631,0,30,0,0,55
2018/1/1 0:20,13.96362631,0,13.96362631,0,30,0,0,55
2018/1/1 0:30,13.91217421,0,13.91217421,0,30,0,0,55
2018/1/1 0:40,13.83873914,0,13.83873914,0,30,0,0,55
2018/1/1 0:50,13.74373374,0,13.74373374,0,30,0,0,55
2018/1/1 1:00,13.62769186,0,13.62769186,0,30,0,0,55
2018/1/1 1:10,13.49126554,0,13.49126554,0,30,0,0,55
2018/1/1 1:20,13.33522138,0,13.33522138,0,30,0,0,55
2018/1/1 1:30,13.16043622,0,13.16043622,0,30,0,0,55
2018/1/1 1:40,12.96789219,0,12.96789219,0,30,0,0,55
2018/1/1 1:50,12.75867123,0,12.75867123,0,30,0,0,55
2018/1/1 2:00,12.53394896,0,12.53394896,0,30,0,0,55
2018/1/1 2:10,12.29498813,0,12.29498813,0,30,0,0,55
2018/1/1 2:20,12.04313148,0,12.04313148,0,30,0,0,55
2018/1/1 2:30,11.77979424,0,11.77979424,0,30,0,0,55
2018/1/1 2:40,11.50645613,0,11.50645613,0,30,0,0,55
2018/1/1 2:50,11.22465305,0,11.22465305,0,30,0,0,55
2018/1/1 3:00,10.93596851,0,10.93596851,0,30,0,0,55
2018/1/1 3:10,10.64202465,0,10.64202465,0,30,0,0,55
2018/1/1 3:20,10.34447317,0,10.34447317,0,30,0,0,55
2018/1/1 3:30,10.04498606,0,10.04498606,0,30,0,0,55
2018/1/1 3:40,9.745246165,0,9.745246165,0,30,0,0,55
2018/1/1 3:50,9.446937764,0,9.446937764,0,30,0,0,55
2018/1/1 4:00,9.151737085,0,9.151737085,0,30,0,0,55
2018/1/1 4:10,8.861302897,0,8.861302897,0,30,0,0,55
2018/1/1 4:20,8.577267183,0,8.577267183,0,30,0,0,55
2018/1/1 4:30,8.301225974,0,8.301225974,0,30,0,0,55
2018/1/1 4:40,8.034730379,0,8.034730379,0,30,0,0,55
2018/1/1 4:50,7.779277867,0,7.779277867,0,30,0,0,55
2018/1/1 5:00,7.536303858,0,7.536303858,0,30,0,0,55
2018/1/1 5:10,7.30717365,0,7.30717365,0,30,0,0,55
2018/1/1 5:20,7.093174754,0,7.093174754,0,30,0,0,55
2018/1/1 5:30,6.895509656,0,6.895509656,0,30,0,0,55
2018/1/1 5:40,6.715289058,0,6.715289058,0,30,0,0,55
2018/1/1 5:50,6.553525642,0,6.553525642,0,30,0,0,55
2018/1/1 6:00,6.411128375,0,6.411128375,0,30,0,0,55
2018/1/1 6:10,6.288897405,0,6.288897405,0,30,0,0,55
2018/1/1 6:20,6.187519563,0,6.187519563,0,30,0,0,55
2018/1/1 6:30,6.107564502,0,6.107564502,0,30,0,0,55
2018/1/1 6:40,6.049481499,0,6.049481499,0,30,0,0,55
2018/1/1 6:50,6.01359693,0,6.01359693,0,30,0,0,55
2018/1/1 7:00,6.000112435,0,6.000112435,0,30,0,0,55
2018/1/1 7:10,6.009103783,35,6.395513662,13.17125078,30,3.629221787,3.629221787,55
2018/1/1 7:20,6.040520453,74,5.216210804,25.87754119,30,5.086997267,5.086997267,55
2018/1/1 7:30,6.094185909,111,5.611500301,46.26152218,30,6.801582329,6.801582329,55
2018/1/1 7:40,6.1697986,147,5.479520133,53.02099244,30,7.281551513,7.281551513,55
2018/1/1 7:50,6.266933648,181,5.918649191,58.98230692,30,7.67999394,7.67999394,55
2018/1/1 8:00,6.385045241,214,5.8974863,77.6126843,30,8.809806144,8.809806144,55
2018/1/1 8:10,6.523469694,246,7.145216861,99.22518327,30,9.961183829,9.961183829,55
2018/1/1 8:20,6.681429185,276,6.78015458,98.96812357,30,9.948272391,9.948272391,55
2018/1/1 8:30,6.858036121,305,6.970625845,108.2119942,30,10.40249942,10.40249942,55
2018/1/1 8:40,7.052298126,333,7.915766135,104.0731719,30,10.20162595,10.20162595,55
2018/1/1 8:50,7.263123618,359,8.042616399,123.7822805,30,11.12574854,11.12574854,55
2018/1/1 9:00,7.489327944,384,8.19008127,120.555278,30,10.97976676,10.97976676,55
2018/1/1 9:10,7.729640036,408,9.445373405,159.3795734,30,12.6245623,12.6245623,55
2018/1/1 9:20,7.982709551,430,9.502345081,149.1161634,30,12.21131293,12.21131293,55
